STFIPS,CTYFIPS,ST_ABBREV,CTYNAME,CBSATITLE,CBSAPOP,CTYPOP,CODE2023,CODE2013,CODE2006,CODE1990
6,35,CA,Lassen County,"Susanville, CA",29904,29904,5,5,5,6
6,37,CA,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",12872322,9721138,1,1,1,1
6,39,CA,Madera County,"Fresno, CA",1175446,160256,2,4,4,3
6,41,CA,Marin County,"San Francisco-Oakland-Fremont, CA",4579599,256018,2,2,2,2
6,43,CA,Mariposa County,,,17020,6,6,6,6
6,45,CA,Mendocino County,"Ukiah, CA",89783,89783,5,5,5,5
6,47,CA,Merced County,"Merced, CA",290014,290014,3,3,4,4
6,49,CA,Modoc County,,,8511,6,6,6,6
6,51,CA,Mono County,,,12978,6,6,6,6
6,53,CA,Monterey County,"Salinas, CA",432858,432858,3,3,3,3
6,55,CA,Napa County,"Napa, CA",134300,134300,4,4,4,2
6,57,CA,Nevada County,"Truckee-Grass Valley, CA",102293,102293,5,5,5,6
6,59,CA,Orange County,"Los Angeles-Long Beach-Anaheim, CA",12872322,3151184,1,1,1,1
6,61,CA,Placer County,"Sacramento-Roseville-Folsom, CA",2416702,417772,2,2,2,2
6,63,CA,Plumas County,,,19351,6,6,6,6
6,65,CA,Riverside County,"Riverside-San Bernardino-Ontario, CA",4667558,2473902,1,1,1,1
